   text	   data	    bss	    dec	    hex	filename
    302	      0	      0	    302	    12e	out/addr_trans.o
   1042	      0	      4	   1046	    416	out/blkdev.o
    268	      0	   2048	   2316	    90c	out/circbuf.o
    149	    960	      0	   1109	    455	out/cust_part.o
      0	    168	      0	    168	     a8	out/custom_emi.o
    343	      0	      0	    343	    157	out/device_apc.o
     33	      0	      0	     33	     21	out/div0.o
   2375	      0	     69	   2444	    98c	out/download.o
      0	      0	      0	      0	      0	out/download_legacy.o
      0	      0	      0	      0	      0	out/download_legacy_utils.o
    200	      0	      0	    200	     c8	out/eabi.o
    320	      0	      0	    320	    140	out/eabi_idiv.o
    332	      0	      0	    332	    14c	out/eabi_uldivmod.o
   1032	   2314	      0	   3346	    d12	out/gpio.o
    618	      8	      4	    630	    276	out/handshake_uart.o
   1144	      8	      0	   1152	    480	out/handshake_usb.o
    584	      0	      0	    584	    248	out/init.o
   1782	      0	      0	   1782	    6f6	out/main.o
    188	      0	      0	    188	     bc	out/memory_test.o
   1018	      0	    200	   1218	    4c2	out/mmc_common_inter.o
   7553	      0	   1656	   9209	   23f9	out/mmc_core.o
      0	      0	      0	      0	      0	out/mmc_dbg.o
      0	      0	      0	      0	      0	out/mmc_test.o
   9525	      0	     48	   9573	   2565	out/msdc.o
      0	     52	      0	     52	     34	out/msdc_cust.o
    274	      0	      0	    274	    112	out/msdc_irq.o
    130	      0	      0	    130	     82	out/msdc_utils.o
    124	      0	      0	    124	     7c	out/mt6577_cpu_power.o
     26	      0	      0	     26	     1a	out/mt6577_pdn.o
   7184	      4	     34	   7222	   1c36	out/mt_emi.o
   1557	      0	      0	   1557	    615	out/mt_gpio_init.o
   4013	      0	      0	   4013	    fad	out/mt_i2c.o
   1212	      0	      0	   1212	    4bc	out/mt_memory.o
     30	      0	      0	     30	     1e	out/mt_mmmfg_sram_repair.o
    616	      0	      0	    616	    268	out/mt_mmsys_mfg_onoff.o
    192	      0	      0	    192	     c0	out/mt_pl_ptp.o
   5287	      0	      0	   5287	   14a7	out/mt_pmic_wrap_init.o
   4293	      0	      1	   4294	   10c6	out/mt_rtc.o
   3209	     11	     24	   3244	    cac	out/mt_usbd.o
   1946	      0	      0	   1946	    79a	out/mt_usbphy.o
   2079	    167	   3676	   5922	   1722	out/mt_usbtty.o
   1071	      0	      0	   1071	    42f	out/mtk_key.o
    358	      0	      0	    358	    166	out/mtk_pll.o
   2942	      0	     12	   2954	    b8a	out/mtk_pmic_6323.o
    494	      0	      8	    502	    1f6	out/mtk_timer.o
   1345	      0	     20	   1365	    555	out/mtk_wdt.o
   1085	      0	      0	   1085	    43d	out/part.o
   1039	      8	 138136	 139183	  21faf	out/partition_mt.o
   2624	      0	   3128	   5752	   1678	out/platform.o
    600	      4	      4	    608	    260	out/print.o
   1187	      0	      8	   1195	    4ab	out/sec.o
    419	      0	      0	    419	    1a3	out/sec_auth.o
    406	      0	      0	    406	    196	out/sec_boot.o
      2	      0	      0	      2	      2	out/sec_ctrl.o
      2	      0	      0	      2	      2	out/sec_flashtool_cfg.o
    205	      0	    512	    717	    2cd	out/sec_key.o
    325	      0	      0	    325	    145	out/sec_region.o
    101	    960	      0	   1061	    425	out/sec_rom_info.o
    448	      0	      4	    452	    1c4	out/sec_secroimg.o
   1631	      0	      2	   1633	    661	out/sec_util.o
    158	      0	      0	    158	     9e	out/stdlib.o
    130	      0	      0	    130	     82	out/string.o
    493	      4	      0	    497	    1f1	out/uart.o
